02:11:12 | INFO    | httpx      | HTTP Request: GET https://api.tvmaze.com/search/shows?q=OnlyFans+Exclusive+Pack+XXX "HTTP/1.1 200 OK"
02:11:12 | INFO    | httpx      | HTTP Request: GET https://api.tvmaze.com/search/shows?q=OnlyFans+Exclusive "HTTP/1.1 200 OK"
02:11:12 | INFO    | httpx      | HTTP Request: GET https://api.tvmaze.com/search/shows?q=OnlyFans+Exclusive+Pack "HTTP/1.1 200 OK"
02:11:12 | INFO    | httpx      | HTTP Request: GET https://api.tvmaze.com/search/shows?q=OnlyFans+Exclusive "HTTP/1.1 200 OK"
02:11:12 | INFO    | httpx      | HTTP Request: GET http://127.0.0.1:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:11:12 | INFO    | httpx      | HTTP Request: GET http://127.0.0.1:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
02:11:12 | INFO    | httpx      | HTTP Request: GET http://127.0.0.1:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
02:11:12 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/get_torrents_to_enrich "HTTP/1.1 200 OK"
02:11:12 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/apply_torrent_ids "HTTP/1.1 200 OK"
02:11:12 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/purge_blocked_torrents "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/purge_absolute_only_torrents "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/keep_best_torrents "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/purge_junk_torrents "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/get_torrents_missing_ids "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/reset_missing_ids_for_retry "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/keep_best_torrents_es "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/report_spanish_gaps "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/renumber_torrent_ids "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/keep_best_torrents "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/keep_best_torrents_es "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/report_spanish_gaps "HTTP/1.1 200 OK"
02:11:13 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:14 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:11:14 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:11:14 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/renumber_torrent_ids "HTTP/1.1 200 OK"
02:11:14 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:11:20 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:11:20 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:20 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_junk_torrents "HTTP/1.1 200 OK"
02:11:20 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_blocked_torrents "HTTP/1.1 200 OK"
02:11:20 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_absolute_only_torrents "HTTP/1.1 200 OK"
02:11:20 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:20 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:11:20 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_to_enrich "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_title_cache "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/apply_torrent_ids "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_to_enrich "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/apply_torrent_ids "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_blocked_torrents "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_absolute_only_torrents "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/keep_best_torrents "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_junk_torrents "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_missing_ids "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/reset_missing_ids_for_retry "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/keep_best_torrents_es "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:11:21 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/report_spanish_gaps "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/renumber_torrent_ids "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/reset_missing_ids_for_retry "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_missing_ids "HTTP/1.1 200 OK"
02:11:22 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/keep_best_torrents_es "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/report_spanish_gaps "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/renumber_torrent_ids "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:11:23 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_junk_torrents "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_blocked_torrents "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_absolute_only_torrents "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_to_enrich "HTTP/1.1 200 OK"
02:12:56 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_title_cache "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/apply_torrent_ids "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_to_enrich "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/apply_torrent_ids "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_blocked_torrents "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_absolute_only_torrents "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/keep_best_torrents "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/purge_junk_torrents "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_missing_ids "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/reset_missing_ids_for_retry "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/keep_best_torrents_es "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/report_spanish_gaps "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/renumber_torrent_ids "HTTP/1.1 200 OK"
02:12:57 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/reset_missing_ids_for_retry "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/get_torrents_missing_ids "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:12:58 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/keep_best_torrents_es "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/report_spanish_gaps "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: GET http://localhost:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/renumber_torrent_ids "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:12:59 | INFO    | httpx      | HTTP Request: POST http://localhost:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:30:59 | INFO    | httpx      | HTTP Request: GET http://127.0.0.1:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:30:59 | INFO    | httpx      | HTTP Request: GET http://127.0.0.1:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
02:30:59 | INFO    | httpx      | HTTP Request: GET http://127.0.0.1:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
02:30:59 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/get_torrents_to_enrich "HTTP/1.1 200 OK"
02:30:59 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/apply_torrent_ids "HTTP/1.1 200 OK"
02:30:59 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/purge_blocked_torrents "HTTP/1.1 200 OK"
02:30:59 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/purge_absolute_only_torrents "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/keep_best_torrents "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/purge_junk_torrents "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/get_torrents_missing_ids "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/reset_missing_ids_for_retry "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/keep_best_torrents_es "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/report_spanish_gaps "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/renumber_torrent_ids "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_security_audit "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_id_report "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_spanish_stats "HTTP/1.1 200 OK"
02:31:00 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_security_audit "HTTP/1.1 200 OK"
02:31:05 | INFO    | httpx      | HTTP Request: GET http://127.0.0.1:8899/rest/v1/torrents?select=id&limit=1 "HTTP/1.1 200 OK"
02:31:05 | INFO    | httpx      | HTTP Request: GET http://127.0.0.1:8899/rest/v1/torrents?select=title_text&limit=1 "HTTP/1.1 200 OK"
02:31:05 | INFO    | httpx      | HTTP Request: GET http://127.0.0.1:8899/rest/v1/torrents?select=title%2Ctitle_text&limit=5 "HTTP/1.1 200 OK"
02:31:05 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/get_torrents_to_enrich "HTTP/1.1 200 OK"
02:31:05 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/apply_torrent_ids "HTTP/1.1 200 OK"
02:31:05 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/purge_blocked_torrents "HTTP/1.1 200 OK"
02:31:05 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/purge_absolute_only_torrents "HTTP/1.1 200 OK"
02:31:05 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/keep_best_torrents "HTTP/1.1 200 OK"
02:31:05 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/purge_junk_torrents "HTTP/1.1 200 OK"
02:31:06 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/torrents_quality_stats "HTTP/1.1 200 OK"
02:31:06 | INFO    | httpx      | HTTP Request: POST http://127.0.0.1:8899/rest/v1/rpc/get_torrents_missing_ids "HTTP/1.1 200 OK"
